TC_ID,Scenario ID,Module,Tên Test Case,Điều kiện tiên quyết,Bước thực hiện,Dữ liệu test,Kết quả mong đợi,Kết quả thực tế,Trạng thái,Mức độ ưu tiên,Loại test,Người thực hiện,Ngày test,Ghi chú
TC_LP_001,S01,Learning Path Generation,Sinh viên baseline tạo lộ trình học tập với cấu hình chuẩn,"Sinh viên 2110001 (VIỆT TRẦN ĐẠI) đã đăng ký chuyên ngành CS, có dữ liệu điểm 4 năm (điểm hỗn hợp B/A). Dữ liệu JSON: sql-generation-body-request.json","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Hệ thống tạo lộ trình học tập thành công, tính khả thi từ MEDIUM trở lên, lộ trình có đầy đủ môn chưa hoàn thành xếp vào các học kỳ phù hợp",,Not Run,Critical,Integration,,,
TC_LP_002,S02,Learning Path Generation,Sinh viên mới chưa có dữ liệu điểm tạo lộ trình học tập,"Sinh viên 2410001 (First Year 001) mới nhập học khóa 24, chưa có dữ liệu điểm. Dữ liệu JSON: sql-generation-body-request-for-student-with-no-learning-progress.json","1. Đăng nhập bằng tài khoản sinh viên 2410001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2410001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Hệ thống tạo lộ trình cho sinh viên mới, tất cả môn trong chương trình học được xếp vào lộ trình, tính khả thi phụ thuộc số học kỳ còn lại",,Not Run,Critical,Integration,,,
TC_LP_003,S03,Learning Path Generation,Sinh viên năm nhất tạo lộ trình học tập,"Sinh viên 2110002 (FIRSTYEAR STUDENT) chỉ hoàn thành năm nhất (HK221+HK222), toàn điểm B-range. Dữ liệu JSON: sql-generation-body-request-for-student-with-first-year-only.json","1. Đăng nhập bằng tài khoản sinh viên 2110002
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110002
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 0
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Lộ trình được tạo với các môn năm 2-4, chuỗi tiên quyết được tôn trọng, tính khả thi GOOD hoặc MEDIUM",,Not Run,Critical,Integration,,,
TC_LP_004,S04,Learning Path Generation,Sinh viên năm hai tạo lộ trình học tập,"Sinh viên 2110003 (SECONDYEAR STUDENT) hoàn thành năm 1-2 (HK221-HK231), toàn điểm B-range. Dữ liệu JSON: sql-generation-body-request-for-student-with-second-year-only.json","1. Đăng nhập bằng tài khoản sinh viên 2110003
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110003
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Lộ trình được tạo với các môn năm 3-4, ít môn hơn S03, tính khả thi GOOD",,Not Run,Critical,Integration,,,
TC_LP_005,S05,Learning Path Generation,Sinh viên GPA cao tạo lộ trình học tập,"Sinh viên 2110004 (HIGH ACHIEVER) toàn điểm A/A+, gần như hoàn hảo. Dữ liệu JSON: sql-generation-body-request-for-student-with-high-gpa.json","1. Đăng nhập bằng tài khoản sinh viên 2110004
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110004
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 0
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Tính khả thi GOOD, GPA dự đoán cao, rủi ro thấp, lộ trình tối ưu vì GPA hiện tại đã vượt mục tiêu",,Not Run,Critical,Integration,,,
TC_LP_006,S06,Learning Path Generation,Sinh viên GPA thấp tạo lộ trình học tập,Sinh viên 2110005 (STRUGGLING STUDENT) toàn điểm C/C+/D. Dữ liệu JSON: sql-generation-body-request-for-student-with-low-gpa.json,"1. Đăng nhập bằng tài khoản sinh viên 2110005
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110005
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 3, cường độ: Heavy (7-8 TC)
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Tính khả thi MEDIUM hoặc WEAK (GPA mục tiêu 3.0 cao hơn GPA hiện tại ~2.0), có khuyến nghị giảm GPA mục tiêu hoặc tăng tải",,Not Run,Critical,Integration,,,
TC_LP_007,S07,Learning Path Generation,Sinh viên gần hoàn thành tạo lộ trình học tập,"Sinh viên 2110006 (ALMOST DONE) gần hoàn thành chương trình, có CO4029 và HK251. Dữ liệu JSON: sql-generation-body-request-for-student-almost-done.json","1. Đăng nhập bằng tài khoản sinh viên 2110006
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110006
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Lộ trình ngắn, ít môn còn lại, tính khả thi GOOD, hoàn thành nhanh",,Not Run,High,Integration,,,
TC_LP_009,S09,Learning Path Generation,Sinh viên giỏi đại cương yếu chuyên ngành tạo lộ trình,"Sinh viên 2110008 (GENED STRONG) điểm cao ở đại cương (SP, LA, MT) nhưng thấp ở chuyên ngành (CO). Dữ liệu JSON: sql-generation-body-request-for-student-strong-gen-ed-weak-major.json","1. Đăng nhập bằng tài khoản sinh viên 2110008
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110008
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 0
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Lộ trình tập trung môn chuyên ngành còn lại, GPA dự đoán thấp hơn do chuyên ngành khó, tính khả thi MEDIUM",,Not Run,High,Integration,,,
TC_LP_010,S10,Learning Path Generation,Sinh viên có học hè tạo lộ trình học tập,Sinh viên 2110009 (SUMMER ACCELERATED) đã có HK223 và HK243 học hè. Dữ liệu JSON: sql-generation-body-request-for-student-with-summer-courses.json,"1. Đăng nhập bằng tài khoản sinh viên 2110009
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110009
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Lộ trình phản ánh môn đã học hè, ít môn còn lại hơn, tính khả thi GOOD hoặc MEDIUM",,Not Run,High,Integration,,,
TC_LP_011,S11,Learning Path Generation,Sinh viên bỏ năm (gap year) tạo lộ trình học tập,"Sinh viên 2110011 (GAP YEAR) thiếu dữ liệu năm 2 (HK231-HK233), nhảy từ năm 1 sang năm 3-4. Dữ liệu JSON: sql-generation-body-request-for-student-with-gap-year.json","1. Đăng nhập bằng tài khoản sinh viên 2110011
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110011
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 3, cường độ: Heavy (7-8 TC)
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Hệ thống nhận diện gap year, bổ sung môn năm 2 còn thiếu, chuỗi tiên quyết dài, tính khả thi WEAK hoặc MEDIUM",,Not Run,Critical,Integration,,,
